team,over_under,team_abbr
Arizona Cardinals,37.5,Ari
Atlanta Falcons,53.5,Atl
Baltimore Ravens,43.5,Bal
Buffalo Bills,41,Buf
Carolina Panthers,43.5,Car
Chicago Bears,37.5,Chi
Cincinnati Bengals,43.5,Cin
Cleveland Browns,39.5,Cle
Dallas Cowboys,41.5,Dal
Denver Broncos,43.5,Den
Detroit Lions,52,Det
Green Bay Packers,45.5,GB
Houston Texans,41.5,Hou
Indianapolis Colts,47.5,Ind
Jacksonville Jaguars,39.5,Jac
Kansas City Chiefs,56,KC
Los Angeles Chargers,48,LAC
Los Angeles Rams,48,LAR
Miami Dolphins,43.5,Mia
Minnesota Vikings,41,Min
New England Patriots,52,NE
New Orleans Saints,53.5,NO
New York Giants,41.5,NYG
New York Jets,39.5,NYJ
Oakland Raiders,43.5,Oak
Philadelphia Eagles,47.5,Phi
Pittsburgh Steelers,53.5,Pit
San Francisco 49ers,56,SF
Seattle Seahawks,41.5,Sea
Tampa Bay Buccaneers,53.5,TB
Tennessee Titans,39.5,Ten
Washington Redskins,45.5,Wsh
