"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28399-30447","RB","Todd","Todd Gurley II","Gurley II","26.5","2","9300","LAC@LAR","LAR","LAC","","","","",""
"28399-28573","WR","Michael","Michael Thomas","Thomas","27.450000762939453","2","9000","NO@ATL","NO","ATL","","","","",""
"28399-57439","QB","Patrick","Patrick Mahomes","Mahomes","33.59000015258789","2","8900","SF@KC","KC","SF","","","","",""
"28399-11612","WR","Antonio","Antonio Brown","Brown","15.5","2","8800","PIT@TB","PIT","TB","","","","",""
"28399-6894","QB","Aaron","Aaron Rodgers","Rodgers","20.489999771118164","2","8800","GB@WAS","GB","WAS","","","","",""
"28399-42104","RB","Alvin","Alvin Kamara","Kamara","26.75","2","8700","NO@ATL","NO","ATL","","","","",""
"28399-14190","WR","Julio","Julio Jones","Jones","15.949999809265137","2","8700","NO@ATL","ATL","NO","","","","",""
"28399-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","15.550000190734863","2","8600","NYG@HOU","HOU","NYG","","","","",""
"28399-22038","QB","Kirk","Kirk Cousins","Cousins","27.43000030517578","2","8600","BUF@MIN","MIN","BUF","","","","",""
"28399-14187","WR","A.J.","A.J. Green","Green","21.799999237060547","2","8600","CIN@CAR","CIN","CAR","","","","",""
"28399-6498","QB","Tom","Tom Brady","Brady","19.31999969482422","2","8500","NE@DET","NE","DET","","","","",""
"28399-6504","QB","Drew","Drew Brees","Brees","24.59000015258789","2","8500","NO@ATL","NO","ATL","","","","",""
"28399-28900","RB","Melvin","Melvin Gordon III","Gordon III","25.350000381469727","2","8400","LAC@LAR","LAC","LAR","Q","Upper body","","",""
"28399-28181","RB","Le'Veon","Le'Veon Bell","Bell","19.940000406901042","15","8400","PIT@TB","PIT","TB","O","Contract dispute","","",""
"28399-25079","WR","Stefon","Stefon Diggs","Diggs","22","2","8300","BUF@MIN","MIN","BUF","","","","",""
"28399-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.","11.800000190734863","2","8300","NYG@HOU","NYG","HOU","","","","",""
"28399-14185","QB","Cam","Cam Newton","Newton","23.420000076293945","2","8300","CIN@CAR","CAR","CIN","","","","",""
"28399-62497","RB","David","David Johnson","Johnson","10.399999618530273","2","8200","CHI@ARI","ARI","CHI","","","","",""
"28399-53681","WR","Tyreek","Tyreek Hill","Hill","28.149999618530273","2","8200","SF@KC","KC","SF","","","","",""
"28399-39716","WR","Adam","Adam Thielen","Thielen","19.149999618530273","2","8200","BUF@MIN","MIN","BUF","","","","",""
"28399-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","16.649999618530273","2","8200","DAL@SEA","DAL","SEA","","","","",""
"28399-11460","TE","Rob","Rob Gronkowski","Gronkowski","11.149999618530273","2","8100","NE@DET","NE","DET","","","","",""
"28399-6589","QB","Ben","Ben Roethlisberger","Roethlisberger","25.489999771118164","2","8100","PIT@TB","PIT","TB","","","","",""
"28399-45889","WR","Davante","Davante Adams","Adams","16.850000381469727","2","8100","GB@WAS","GB","WAS","","","","",""
"28399-29253","WR","Keenan","Keenan Allen","Allen","15.25","2","8000","LAC@LAR","LAC","LAR","","","","",""
"28399-32384","WR","Mike","Mike Evans","Evans","20.75","2","8000","PIT@TB","TB","PIT","","","","",""
"28399-64401","RB","Saquon","Saquon Barkley","Barkley","18.799999237060547","2","8000","NYG@HOU","NYG","HOU","","","","",""
"28399-45229","RB","Kareem","Kareem Hunt","Hunt","9.699999809265137","2","7900","SF@KC","KC","SF","","","","",""
"28399-55050","RB","Christian","Christian McCaffrey","McCaffrey","15.699999809265137","2","7900","CIN@CAR","CAR","CIN","","","","",""
"28399-22015","QB","Russell","Russell Wilson","Wilson","19.079999923706055","2","7800","DAL@SEA","SEA","DAL","","","","",""
"28399-55987","WR","JuJu","JuJu Smith-Schuster","Smith-Schuster","19.5","2","7800","PIT@TB","PIT","TB","","","","",""
"28399-29501","WR","Brandin","Brandin Cooks","Cooks","15.600000381469727","2","7800","LAC@LAR","LAR","LAC","","","","",""
"28399-6616","QB","Matt","Matt Ryan","Ryan","20.760000228881836","2","7700","NO@ATL","ATL","NO","","","","",""
"28399-54879","QB","Deshaun","Deshaun Watson","Watson","17.920000076293945","2","7700","NYG@HOU","HOU","NYG","","","","",""
"28399-52922","RB","Leonard","Leonard Fournette","Fournette","7","1","7700","TEN@JAC","JAC","TEN","Q","Hamstring","","",""
"28399-38435","QB","Jared","Jared Goff","Goff","18.290000915527344","2","7600","LAC@LAR","LAR","LAC","","","","",""
"28399-33076","TE","Travis","Travis Kelce","Kelce","13.75","2","7500","SF@KC","KC","SF","","","","",""
"28399-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","36.630001068115234","2","7500","PIT@TB","TB","PIT","","","","",""
"28399-22031","WR","T.Y.","T.Y. Hilton","Hilton","15.449999809265137","2","7500","IND@PHI","IND","PHI","","","","",""
"28399-40687","RB","James","James Conner","Conner","24.350000381469727","2","7500","PIT@TB","PIT","TB","","","","",""
"28399-42142","RB","Jordan","Jordan Howard","Howard","10.75","2","7400","CHI@ARI","CHI","ARI","","","","",""
"28399-54604","QB","Jimmy","Jimmy Garoppolo","Garoppolo","14.34000015258789","2","7400","SF@KC","SF","KC","","","","",""
"28399-21939","QB","Andrew","Andrew Luck","Luck","16.90999984741211","2","7400","IND@PHI","IND","PHI","","","","",""
"28399-6654","QB","Matthew","Matthew Stafford","Stafford","18.360000610351562","2","7400","NE@DET","DET","NE","","","","",""
"28399-22027","QB","Nick","Nick Foles","Foles","10.619999885559082","2","7400","IND@PHI","PHI","IND","","","","",""
"28399-70324","QB","Carson","Carson Wentz","Wentz","22.210768479567307","13","7400","IND@PHI","PHI","IND","","","","",""
"28399-7968","QB","Philip","Philip Rivers","Rivers","26.350000381469727","2","7400","LAC@LAR","LAC","LAR","","","","",""
"28399-27776","RB","Tevin","Tevin Coleman","Coleman","12.75","2","7300","NO@ATL","ATL","NO","","","","",""
"28399-42028","WR","Will","Will Fuller V","Fuller V","21.299999237060547","1","7200","NYG@HOU","HOU","NYG","","","","",""
"28399-14626","WR","Doug","Doug Baldwin","Baldwin","0","1","7200","DAL@SEA","SEA","DAL","D","Knee - mcl","","",""
"28399-14225","QB","Andy","Andy Dalton","Dalton","22.059999465942383","2","7200","CIN@CAR","CIN","CAR","","","","",""
"28399-52442","RB","Joe","Joe Mixon","Mixon","16.299999237060547","2","7100","CIN@CAR","CIN","CAR","O","Knee","","",""
"28399-8005","QB","Alex","Alex Smith","Smith","16.34000015258789","2","7100","GB@WAS","WAS","GB","","","","",""
"28399-29780","TE","Zach","Zach Ertz","Ertz","11.100000381469727","2","7000","IND@PHI","PHI","IND","","","","",""
"28399-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","18.049999237060547","2","6900","DEN@BAL","DEN","BAL","","","","",""
"28399-31001","WR","Amari","Amari Cooper","Cooper","9.449999809265137","2","6900","OAK@MIA","OAK","MIA","","","","",""
"28399-31394","WR","Jarvis","Jarvis Landry","Landry","11.75","2","6900","NYJ@CLE","CLE","NYJ","Q","Knee","","",""
"28399-11485","WR","Golden","Golden Tate","Tate","16.350000381469727","2","6800","NE@DET","DET","NE","","","","",""
"28399-30989","RB","Kenyan","Kenyan Drake","Drake","11.550000190734863","2","6800","OAK@MIA","MIA","OAK","","","","",""
"28399-24920","RB","Devonta","Devonta Freeman","Freeman","6.5","1","6800","NO@ATL","ATL","NO","Q","Knee","","",""
"28399-6739","WR","DeSean","DeSean Jackson","Jackson","25","2","6800","PIT@TB","TB","PIT","","","","",""
